id;identifiant;statut;prolongements_critiques_id;deja_la_prolongements_critiques_id;titre;type;source;url;resume;duree;tags
3;coop-blast-licoornes;valide;praticable-probleme-coop,licoornes-site,mythe-autogestion,hal-coop-critique;;COOPÉRATIVES : LES ALTERNATIVES AU CAPITALISME EXISTENT;video;YouTube / BLAST Le souffle de l’info;https://www.youtube.com/watch?v=FA3IpqdI7k0&t=1425s;Une ressource centrée sur la question coopérative et sur les formes d’alternatives économiques au capitalisme;1h30;coopérative,économie
105;praticable-probleme-coop;valide;;;Le problème des coopératives;article;Praticable.fr;https://praticable.fr/productions/design-coop/probleme-cooperatives;;10 mins ?;coopérative,économie
133;licoornes-site;valide;;;Licoornes;site;;https://www.licoornes.coop/;;;coopérative,économie
135;mythe-autogestion;valide;;;Contre le mythe autogestionnaire;brochure;Infokiosques;https://infokiosques.net/spip.php?article805;;;
199;hal-coop-critique;valide;;;Coopératives, démocratie économique et marges d’action critiques;article;HAL;https://hal.science/hal-04923700/document;;;coopérative,économie
4;zapatistes-hydre-video;valide;;zapatistes;Comment sortir du capitalisme ? - Le (non) modèle zapatiste;video;YouTube / Hydre Aux mille têtes - Une histoire de la révolte;https://www.youtube.com/watch?v=UjcnCJ-8_Xg;Se concentre à décrire ce qu’est le modèle zapatiste et comment il fonctionne à travers son territoire et son économie.;33 min;zapatiste,autonomie
1;friot-arte-video;valide;;;Et si on était payé à ne rien faire ? | Les idées larges avec Bernard Friot | ARTE;video;YouTube / ARTE;https://www.youtube.com/watch?v=50vPCv7EPWE;Une entrée utile sur le salaire à vie;26min;salaire,friot
34;mediatheque-politique;valide;;;La Médiathèque Politique;chaîne YouTube;;https://youtube.com/@lamediathequepolitique?si=WPzIN-lXrtDYuies;Chaîne rassemblant des playlistes et d'autres chaînes Youtube de politique et de vulgarisation scientifique.;;bibliothèque
